店铺名,ItemID,货号,尺码,价格
hypex-official-store,286402925356,Nigel Sylvester x Air Jordan 4 OG Brick by Brick Red HF4340-800 Men's New Size,3.5 Men,353.0
hypex-official-store,286402925356,Nigel Sylvester x Air Jordan 4 OG Brick by Brick Red HF4340-800 Men's New Size,4 Men,400.0
hypex-official-store,286402925356,Nigel Sylvester x Air Jordan 4 OG Brick by Brick Red HF4340-800 Men's New Size,4.5 Men,390.0
hypex-official-store,286402925356,Nigel Sylvester x Air Jordan 4 OG Brick by Brick Red HF4340-800 Men's New Size,5 Men,465.0
hypex-official-store,286402925356,Nigel Sylvester x Air Jordan 4 OG Brick by Brick Red HF4340-800 Men's New Size,6 Men,620.0
hypex-official-store,286402925356,Nigel Sylvester x Air Jordan 4 OG Brick by Brick Red HF4340-800 Men's New Size,7 Men,614.0
hypex-official-store,286402925356,Nigel Sylvester x Air Jordan 4 OG Brick by Brick Red HF4340-800 Men's New Size,8 Men,657.0
hypex-official-store,286402925356,Nigel Sylvester x Air Jordan 4 OG Brick by Brick Red HF4340-800 Men's New Size,8.5 Men,698.0
hypex-official-store,286402925356,Nigel Sylvester x Air Jordan 4 OG Brick by Brick Red HF4340-800 Men's New Size,9 Men,687.0
hypex-official-store,286402925356,Nigel Sylvester x Air Jordan 4 OG Brick by Brick Red HF4340-800 Men's New Size,9.5 Men,737.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,3.5 Men,413.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,4 Men,405.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,4.5 Men,443.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,5 Men,515.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,5.5 Men,649.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,6 Men,920.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,6.5 Men,786.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,7 Men,695.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,7.5 Men,659.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,8 Men,617.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,8.5 Men,678.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,9 Men,678.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,9.5 Men,788.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,10 Men,812.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,10.5 Men,848.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,11 Men,907.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,11.5 Men,979.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,12 Men,1183.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,13 Men,975.0
vibekicks,365640563904,Air Jordan 4 x N-Sylvester OG Brick by Brick Orange HF4340-800 AJ4 Men's,14 Men,999.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,3.5 Men/5 Women,354.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,4 Men/5.5 Women,331.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,4.5 Men/6 Women,362.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,5 Men/6.5 Women,421.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,5.5 Men/7 Women,531.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,6 Men/7.5 Women,754.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,6.5 Men/8 Women,644.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,7 Men/8.5 Women,567.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,7.5 Men/9 Women,538.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,8 Men/9.5 Women,505.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,8.5 Men/10 Women,555.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,9 Men/10.5 Women,605.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,9.5 Men/11 Women,645.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,10 Men/11.5 Women,665.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,10.5 Men/12 Women,692.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,11 Men/12.5 Women,740.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,11.5 Men/13 Women,952.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,12 Men/13.5 Women,1120.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,13 Men/14.5 Women,796.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,14 Men/15.5 Women,969.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,3.5 Men,416.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,4 Men,408.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,4.5 Men,446.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,5 Men,518.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,5.5 Men,652.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,6 Men,923.0
