店铺名,ItemID,货号,尺码,价格
mxcltd,364620556012,DR5415-103,10.5 Men,549.0
mxcltd,364620556012,DR5415-103,10 Men,487.0
mxcltd,364620556012,DR5415-103,5 Men,676.0
mxcltd,364620556012,DR5415-103,6.5 Men,573.0
mxcltd,364620556012,DR5415-103,6 Men,571.0
mxcltd,364620556012,DR5415-103,7.5 Men,359.0
mxcltd,364620556012,DR5415-103,7 Men,370.0
mxcltd,364620556012,DR5415-103,8.5 Men,348.0
mxcltd,364620556012,DR5415-103,8 Men,369.0
mxcltd,364620556012,DR5415-103,9.5 Men,442.0
mxcltd,364620556012,DR5415-103,9 Men,367.0
mxcltd,364620556012,DR5415-103,5.5 Men,571.0
mxcltd,364620556012,DR5415-103,11 Men,700.0
mxcltd,364620556012,DR5415-103,4.5 Men,612.0
hemeisport,357221453003,DM7866-202,4 Men,438.0
hemeisport,357221453003,DM7866-202,4.5 Men,438.0
hemeisport,357221453003,DM7866-202,5 Men,436.0
hemeisport,357221453003,DM7866-202,5.5 Men,436.0
hemeisport,357221453003,DM7866-202,6 Men,577.0
hemeisport,357221453003,DM7866-202,6.5 Men,577.0
hemeisport,357221453003,DM7866-202,7 Men,607.0
hemeisport,357221453003,DM7866-202,7.5 Men,607.0
hemeisport,357221453003,DM7866-202,8 Men,438.0
hemeisport,357221453003,DM7866-202,8.5 Men,438.0
hemeisport,357221453003,DM7866-202,9 Men,468.0
hemeisport,357221453003,DM7866-202,9.5 Men,468.0
hemeisport,357221453003,DM7866-202,11 Men,522.0
hemeisport,357221453003,DM7866-202,11.5 Men,522.0
hemeisport,357221453003,DM7866-202,12 Men,581.0
sole_b1ock,375443611727,DR5415-103,3.5 Men,817.0
sole_b1ock,375443611727,DR5415-103,4 Men,992.0
sole_b1ock,375443611727,DR5415-103,4.5 Men,489.0
sole_b1ock,375443611727,DR5415-103,5 Men,475.0
sole_b1ock,375443611727,DR5415-103,6 Men,538.0
sole_b1ock,375443611727,DR5415-103,6.5 Men,487.0
sole_b1ock,375443611727,DR5415-103,7 Men,348.0
sole_b1ock,375443611727,DR5415-103,7.5 Men,311.0
sole_b1ock,375443611727,DR5415-103,8 Men,323.0
sole_b1ock,375443611727,DR5415-103,8.5 Men,326.0
sole_b1ock,375443611727,DR5415-103,9 Men,331.0
sole_b1ock,375443611727,DR5415-103,9.5 Men,379.0
sole_b1ock,375443611727,DR5415-103,10 Men,461.0
sole_b1ock,375443611727,DR5415-103,10.5 Men,506.0
sole_b1ock,375443611727,DR5415-103,11 Men,582.0
sole_b1ock,375443611727,DR5415-103,12 Men,723.0
sole_b1ock,375443611727,DR5415-103,13 Men,760.0
sole_b1ock,375443611727,DR5415-103,17 Men,678.0
sole_b1ock,375443611727,DR5415-103,18 Men,662.0
