店铺名,ItemID,货号,尺码,价格
hypex-official-store,286402925356,HF4340-800,3.5 Men,353.0
hypex-official-store,286402925356,HF4340-800,4 Men,400.0
hypex-official-store,286402925356,HF4340-800,4.5 Men,390.0
hypex-official-store,286402925356,HF4340-800,5 Men,465.0
hypex-official-store,286402925356,HF4340-800,6 Men,620.0
hypex-official-store,286402925356,HF4340-800,7 Men,614.0
hypex-official-store,286402925356,HF4340-800,8 Men,657.0
hypex-official-store,286402925356,HF4340-800,8.5 Men,698.0
hypex-official-store,286402925356,HF4340-800,9 Men,687.0
hypex-official-store,286402925356,HF4340-800,9.5 Men,737.0
vibekicks,365640563904,HF4340-800,3.5 Men,413.0
vibekicks,365640563904,HF4340-800,4 Men,405.0
vibekicks,365640563904,HF4340-800,4.5 Men,443.0
vibekicks,365640563904,HF4340-800,5 Men,515.0
vibekicks,365640563904,HF4340-800,5.5 Men,649.0
vibekicks,365640563904,HF4340-800,6 Men,920.0
vibekicks,365640563904,HF4340-800,6.5 Men,786.0
vibekicks,365640563904,HF4340-800,7 Men,695.0
vibekicks,365640563904,HF4340-800,7.5 Men,659.0
vibekicks,365640563904,HF4340-800,8 Men,617.0
vibekicks,365640563904,HF4340-800,8.5 Men,678.0
vibekicks,365640563904,HF4340-800,9 Men,678.0
vibekicks,365640563904,HF4340-800,9.5 Men,788.0
vibekicks,365640563904,HF4340-800,10 Men,812.0
vibekicks,365640563904,HF4340-800,10.5 Men,848.0
vibekicks,365640563904,HF4340-800,11 Men,907.0
vibekicks,365640563904,HF4340-800,11.5 Men,979.0
vibekicks,365640563904,HF4340-800,12 Men,1183.0
vibekicks,365640563904,HF4340-800,13 Men,975.0
vibekicks,365640563904,HF4340-800,14 Men,999.0
all_in_domain,397004946909,HF4340-800,3.5 Men,354.0
all_in_domain,397004946909,HF4340-800,4 Men,331.0
all_in_domain,397004946909,HF4340-800,4.5 Men,362.0
all_in_domain,397004946909,HF4340-800,5 Men,421.0
all_in_domain,397004946909,HF4340-800,5.5 Men,531.0
all_in_domain,397004946909,HF4340-800,6 Men,754.0
all_in_domain,397004946909,HF4340-800,6.5 Men,644.0
all_in_domain,397004946909,HF4340-800,7 Men,567.0
all_in_domain,397004946909,HF4340-800,7.5 Men,538.0
all_in_domain,397004946909,HF4340-800,8 Men,505.0
all_in_domain,397004946909,HF4340-800,8.5 Men,555.0
all_in_domain,397004946909,HF4340-800,9 Men,605.0
all_in_domain,397004946909,HF4340-800,9.5 Men,645.0
all_in_domain,397004946909,HF4340-800,10 Men,665.0
all_in_domain,397004946909,HF4340-800,10.5 Men,692.0
all_in_domain,397004946909,HF4340-800,11 Men,740.0
all_in_domain,397004946909,HF4340-800,11.5 Men,952.0
all_in_domain,397004946909,HF4340-800,12 Men,1120.0
all_in_domain,397004946909,HF4340-800,13 Men,796.0
all_in_domain,397004946909,HF4340-800,14 Men,969.0
brother_tao,177354866968,HF4340-800,3.5 Men,416.0
brother_tao,177354866968,HF4340-800,4 Men,408.0
brother_tao,177354866968,HF4340-800,4.5 Men,446.0
brother_tao,177354866968,HF4340-800,5 Men,518.0
brother_tao,177354866968,HF4340-800,5.5 Men,652.0
brother_tao,177354866968,HF4340-800,6 Men,923.0
brother_tao,177354866968,HF4340-800,6.5 Men,788.0
brother_tao,177354866968,HF4340-800,7 Men,698.0
brother_tao,177354866968,HF4340-800,7.5 Men,662.0
brother_tao,177354866968,HF4340-800,8 Men,620.0
brother_tao,177354866968,HF4340-800,8.5 Men,681.0
brother_tao,177354866968,HF4340-800,9 Men,681.0
brother_tao,177354866968,HF4340-800,9.5 Men,790.0
brother_tao,177354866968,HF4340-800,10 Men,815.0
brother_tao,177354866968,HF4340-800,10.5 Men,851.0
brother_tao,177354866968,HF4340-800,11 Men,910.0
brother_tao,177354866968,HF4340-800,11.5 Men,981.0
brother_tao,177354866968,HF4340-800,12 Men,1186.0
brother_tao,177354866968,HF4340-800,13 Men,978.0
brother_tao,177354866968,HF4340-800,14 Men,1002.0
mxcltd,365477904510,HF4340-800,9 Men,581.0
mxcltd,365477904510,HF4340-800,9.5 Men,687.0
mxcltd,365477904510,HF4340-800,8.5 Men,581.0
mxcltd,365477904510,HF4340-800,7 Men,600.0
mxcltd,365477904510,HF4340-800,4.5 Men,390.0
mxcltd,365477904510,HF4340-800,3.5 Men,385.0
mxcltd,365477904510,HF4340-800,4 Men,374.0
mxcltd,365477904510,HF4340-800,5.5 Men,563.0
mxcltd,365477904510,HF4340-800,5 Men,445.0
mxcltd,365477904510,HF4340-800,6.5 Men,673.0
mxcltd,365477904510,HF4340-800,7.5 Men,565.0
mxcltd,365477904510,HF4340-800,8 Men,530.0
yuejiesport,397001734842,HF4340-800,3.5 Men,384.0
yuejiesport,397001734842,HF4340-800,4 Men,377.0
yuejiesport,397001734842,HF4340-800,4.5 Men,413.0
yuejiesport,397001734842,HF4340-800,5 Men,481.0
yuejiesport,397001734842,HF4340-800,5.5 Men,607.0
yuejiesport,397001734842,HF4340-800,6 Men,863.0
yuejiesport,397001734842,HF4340-800,6.5 Men,736.0
yuejiesport,397001734842,HF4340-800,7 Men,650.0
yuejiesport,397001734842,HF4340-800,7.5 Men,616.0
yuejiesport,397001734842,HF4340-800,8 Men,577.0
yuejiesport,397001734842,HF4340-800,8.5 Men,634.0
yuejiesport,397001734842,HF4340-800,9 Men,634.0
yuejiesport,397001734842,HF4340-800,9.5 Men,738.0
yuejiesport,397001734842,HF4340-800,10 Men,761.0
yuejiesport,397001734842,HF4340-800,10.5 Men,795.0
yuejiesport,397001734842,HF4340-800,11 Men,850.0
yuejiesport,397001734842,HF4340-800,11.5 Men,918.0
yuejiesport,397001734842,HF4340-800,12 Men,1111.0
yuejiesport,397001734842,HF4340-800,13 Men,915.0
yuejiesport,397001734842,HF4340-800,14 Men,938.0
mxcltd2,317127152183,HF4340-800,3.5 Men,371.0
mxcltd2,317127152183,HF4340-800,4.5 Men,376.0
mxcltd2,317127152183,HF4340-800,4 Men,360.0
mxcltd2,317127152183,HF4340-800,5 Men,430.0
mxcltd2,317127152183,HF4340-800,8 Men,511.0
hemeisport,356670749707,HF4340-800,4.5Men,413.0
hemeisport,356670749707,HF4340-800,5 Men,481.0
hemeisport,356670749707,HF4340-800,5.5 Men,607.0
hemeisport,356670749707,HF4340-800,8.5 Men,634.0
hemeisport,356670749707,HF4340-800,9.5 Men,738.0
fashion_pro,365453610727,HF4340-800,4 Men,391.0
fashion_pro,365453610727,HF4340-800,4.5 Men,420.0
fashion_pro,365453610727,HF4340-800,5.5 Men,590.0
fashion_pro,365453610727,HF4340-800,6.5 Men,714.0
fashion_pro,365453610727,HF4340-800,7 Men,697.0
fashion_pro,365453610727,HF4340-800,7.5 Men,625.0
fashion_pro,365453610727,HF4340-800,9 Men,673.0
fashion_pro,365453610727,HF4340-800,9.5 Men,684.0
fashion_pro,365453610727,HF4340-800,10.5 Men,896.0
fashion_pro,365453610727,HF4340-800,11 Men,880.0
fashion_pro,365453610727,HF4340-800,11.5 Men,895.0
fashion_pro,365453610727,HF4340-800,12 Men,1095.0
sole_b1ock,376056628538,HF4340-800,3.5 Men,351.0
sole_b1ock,376056628538,HF4340-800,4 Men,328.0
sole_b1ock,376056628538,HF4340-800,4.5 Men,359.0
sole_b1ock,376056628538,HF4340-800,5 Men,418.0
sole_b1ock,376056628538,HF4340-800,5.5 Men,527.0
sole_b1ock,376056628538,HF4340-800,6 Men,749.0
sole_b1ock,376056628538,HF4340-800,6.5 Men,639.0
sole_b1ock,376056628538,HF4340-800,7 Men,563.0
sole_b1ock,376056628538,HF4340-800,7.5 Men,534.0
sole_b1ock,376056628538,HF4340-800,8 Men,501.0
sole_b1ock,376056628538,HF4340-800,8.5 Men,551.0
sole_b1ock,376056628538,HF4340-800,9 Men,601.0
sole_b1ock,376056628538,HF4340-800,9.5 Men,640.0
sole_b1ock,376056628538,HF4340-800,10 Men,661.0
sole_b1ock,376056628538,HF4340-800,11 Men,735.0
sole_b1ock,376056628538,HF4340-800,11.5 Men,797.0
sole_b1ock,376056628538,HF4340-800,12 Men,984.0
sole_b1ock,376056628538,HF4340-800,13 Men,791.0
sole_b1ock,376056628538,HF4340-800,14 Men,814.0
mtsnkrs,317039662538,HF4340-800,3.5 Men,345.0
mtsnkrs,317039662538,HF4340-800,4 Men,338.0
mtsnkrs,317039662538,HF4340-800,4.5 Men,364.0
mtsnkrs,317039662538,HF4340-800,5 Men,422.0
mtsnkrs,317039662538,HF4340-800,5.5 Men,531.0
mtsnkrs,317039662538,HF4340-800,6 Men,750.0
mtsnkrs,317039662538,HF4340-800,6.5 Men,641.0
mtsnkrs,317039662538,HF4340-800,7 Men,568.0
mtsnkrs,317039662538,HF4340-800,7.5 Men,539.0
mtsnkrs,317039662538,HF4340-800,8 Men,505.0
mtsnkrs,317039662538,HF4340-800,8.5 Men,554.0
mtsnkrs,317039662538,HF4340-800,9 Men,554.0
mtsnkrs,317039662538,HF4340-800,9.5 Men,643.0
mtsnkrs,317039662538,HF4340-800,10 Men,663.0
mtsnkrs,317039662538,HF4340-800,10.5 Men,692.0
mtsnkrs,317039662538,HF4340-800,11 Men,740.0
mtsnkrs,317039662538,HF4340-800,11.5 Men,798.0
mtsnkrs,317039662538,HF4340-800,13 Men,795.0
