店铺名,ItemID,货号,尺码,价格
hypex-official-store,286770148888,IB8958-001,3.5 Men,283.0
hypex-official-store,286770148888,IB8958-001,4 Men,298.0
hypex-official-store,286770148888,IB8958-001,4.5 Men,284.0
hypex-official-store,286770148888,IB8958-001,5 Men,307.0
hypex-official-store,286770148888,IB8958-001,5.5 Men,323.0
hypex-official-store,286770148888,IB8958-001,6 Men,367.0
hypex-official-store,286770148888,IB8958-001,6.5 Men,367.0
hypex-official-store,286770148888,IB8958-001,7 Men,352.0
hypex-official-store,286770148888,IB8958-001,7.5 Men,321.0
hypex-official-store,286770148888,IB8958-001,8 Men,302.0
hypex-official-store,286770148888,IB8958-001,8.5 Men,296.0
hypex-official-store,286770148888,IB8958-001,9 Men,288.0
hypex-official-store,286770148888,IB8958-001,9.5 Men,298.0
hypex-official-store,286770148888,IB8958-001,10 Men,306.0
hypex-official-store,286770148888,IB8958-001,10.5 Men,304.0
hypex-official-store,286770148888,IB8958-001,11 Men,329.0
hypex-official-store,286770148888,IB8958-001,11.5 Men,342.0
hypex-official-store,286770148888,IB8958-001,12 Men,336.0
hypex-official-store,286770148888,IB8958-001,13 Men,319.0
hypex-official-store,286770148888,IB8958-001,14 Men,283.0
hypex-official-store,286783519084,IB8958-001,7 Men,274.8
hypex-official-store,286783519084,IB8958-001,7.5 Men,259.2
hypex-official-store,286783519084,IB8958-001,8 Men,254.4
hypex-official-store,286783519084,IB8958-001,9 Men,255.6
brother_tao,177345049206,IB8958-001,3.5 Men,282.0
brother_tao,177345049206,IB8958-001,4 Men,297.0
brother_tao,177345049206,IB8958-001,4.5 Men,283.0
brother_tao,177345049206,IB8958-001,5 Men,306.0
brother_tao,177345049206,IB8958-001,5.5 Men,321.0
brother_tao,177345049206,IB8958-001,6 Men,365.0
brother_tao,177345049206,IB8958-001,6.5 Men,365.0
brother_tao,177345049206,IB8958-001,7 Men,350.0
brother_tao,177345049206,IB8958-001,7.5 Men,319.0
brother_tao,177345049206,IB8958-001,8 Men,301.0
brother_tao,177345049206,IB8958-001,8.5 Men,295.0
brother_tao,177345049206,IB8958-001,9 Men,287.0
brother_tao,177345049206,IB8958-001,9.5 Men,297.0
brother_tao,177345049206,IB8958-001,10 Men,304.0
brother_tao,177345049206,IB8958-001,10.5 Men,302.0
brother_tao,177345049206,IB8958-001,11 Men,327.0
brother_tao,177345049206,IB8958-001,11.5 Men,340.0
brother_tao,177345049206,IB8958-001,12 Men,335.0
brother_tao,177345049206,IB8958-001,13 Men,318.0
brother_tao,177345049206,IB8958-001,14 Men,282.0
