类型,SKU,名称,简短描述,描述,促销价格,常规售价,分类,品牌,图片,父级,属性名1,属性值1
variable,1203A390-001,ASICS Gel-Kahana TR Sneakers 'Black' 1203A390-001,,,100000,100000,Sneakers,ASICS,"https://images.novelship.com/product/asics_gel-kahana_tr_sneakers__black__1203a390-001_0_35404.jpeg, https://images.novelship.com/product/asics_gel-kahana_tr_sneakers__black__1203a390-001_1_35404.jpeg, https://images.novelship.com/product/asics_gel-kahana_tr_sneakers__black__1203a390-001_2_35404.jpeg, https://images.novelship.com/product/asics_gel-kahana_tr_sneakers__black__1203a390-001_3_35404.jpeg, https://images.novelship.com/product/asics_gel-kahana_tr_sneakers__black__1203a390-001_4_35404.jpeg",1203A390-001,Size,"EU  ~~ US 3 men, EU  ~~ US 3.5 men, EU 36 ~~ US 4 men, EU 37 ~~ US 4.5 men, EU 37.5 ~~ US 5 men, EU 38 ~~ US 5.5 men, EU 39 ~~ US 6 men, EU 39.5 ~~ US 6.5 men, EU 40 ~~ US 7 men, EU 40.5 ~~ US 7.5 men, EU 41.5 ~~ US 8 men, EU 42 ~~ US 8.5 men, EU 42.5 ~~ US 9 men, EU 43.5 ~~ US 9.5 men, EU 44 ~~ US 10 men, EU 44.5 ~~ US 10.5 men, EU 45 ~~ US 11 men, EU 46 ~~ US 11.5 men, EU 46.5 ~~ US 12 men, EU 47 ~~ US 12.5 men, EU 48 ~~ US 13 men, EU 49 ~~ US 14 men, EU 50.5 ~~ US 15 men"
variation,,,,,100000,100000,,,,1203A390-001,Size,EU  ~~ US 3 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU  ~~ US 3.5 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 36 ~~ US 4 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 37 ~~ US 4.5 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 37.5 ~~ US 5 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 38 ~~ US 5.5 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 39 ~~ US 6 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 39.5 ~~ US 6.5 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 40 ~~ US 7 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 40.5 ~~ US 7.5 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 41.5 ~~ US 8 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 42 ~~ US 8.5 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 42.5 ~~ US 9 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 43.5 ~~ US 9.5 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 44 ~~ US 10 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 44.5 ~~ US 10.5 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 45 ~~ US 11 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 46 ~~ US 11.5 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 46.5 ~~ US 12 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 47 ~~ US 12.5 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 48 ~~ US 13 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 49 ~~ US 14 men
variation,,,,,100000,100000,,,,1203A390-001,Size,EU 50.5 ~~ US 15 men
